n,id,title,url,image
1,kC8j8r0zwD,"Caso Báez Sosa, el juicio. Más rugbiers rompen el silencio: Lucas Pertossi y Cinalli buscaron despegarse del crimen",https://www.clarin.com/policiales/juicio-crimen-fernando-baez-sosa-vivo-anos-ataque-rugbiers-ultima-chance-hablar-alegatos_0_kC8j8r0zwD.html,https://images.clarin.com/2023/01/09/3NFuM5zlt_1256x620__3.jpg#1674061775590
2,kcHnprrv8E,Embestida a la Justicia. Sorpresa en el Gobierno tras la crítica de EE.UU. por el juicio político contra la Corte ,https://www.clarin.com/politica/sorpresa-gobierno-critica-ee-uu-juicio-politico-corte-suprema_0_kcHnprrv8E.html,https://images.clarin.com/2023/01/18/qG-4Jkvlc_720x0__1.jpg
3,RQES4qaMJh,Crisis cambiaria. Las 4 claves sobre las medidas del Gobierno para tratar de evitar que suba más el dólar,https://www.clarin.com/economia/claves-medidas-gobierno-bajar-brecha-evitar-mayor-suba-dolar_0_RQES4qaMJh.html,https://images.clarin.com/2023/01/18/NTZr8LuRM_720x0__1.jpg
4,ZZRWr4p0wU,El blue recalentado. Batería de medidas para frenar al dólar: aumentan la tasa de interés a los bancos,https://www.clarin.com/economia/bateria-medidas-frenar-dolar-suben-tasa-interes-bancos_0_ZZRWr4p0wU.html,https://images.clarin.com/2022/12/20/2-LJCVTvm_720x0__1.jpg
5,OeeulF72Po,"Tras los anuncios. ""Delirio total"" y ""fulbito para la tribuna"": los cuestionamientos de los economistas ",https://www.clarin.com/economia/principales-tuit-anuncio-sergio-massa_0_OeeulF72Po.html,https://images.clarin.com/2023/01/18/qSssuor_O_720x0__1.jpg
6,xo80ZGC4TT,Estadías largas en aeropuertos. Ezeiza y Aeroparque: cuánto sale dejar el auto hasta volver de viaje,https://www.clarin.com/servicios/ezeiza-aeroparque-sale-dejar-auto-aeropuerto-volver-viaje_0_xo80ZGC4TT.html,https://images.clarin.com/2023/01/17/5M9XSz6o9_720x0__1.jpg
7,x0wHF5UkL8,"""Se nos ataca injustamente"". Moyano acusa de violentos a los que criticaron el control de precios camionero",https://www.clarin.com/politica/hugo-moyano-acusa-violentos-criticaron-control-precios-camionero-ataca-injustamente-_0_x0wHF5UkL8.html,https://images.clarin.com/2023/01/14/mnIevNNyN_720x0__1.jpg
8,cIHQpxM19p,"Acto en Mendoza. Alberto F. le respondió al gobernador que no lo recibió: ""Creo que se equivocó""",https://www.clarin.com/politica/alberto-fernandez-respondio-gobernador-mendocino-decidio-recibirlo-alguien-confundio-creo-equivoco-_0_cIHQpxM19p.html,https://images.clarin.com/2023/01/18/WU-caZ8DM_720x0__1.jpg
9,jNA6mRWo6C,Adelanto de Clarín. Una encuesta midió para jefe de Gobierno en la Ciudad: arde la interna en JxC,https://www.clarin.com/politica/nueva-encuesta-midio-jefe-gobierno-ciudad-arde-interna-juntos-cambio_0_jNA6mRWo6C.html,https://images.clarin.com/2022/11/08/UgYIcYuoJ_720x0__1.jpg
10,CZjyc45oEK,Dio detalles del diagnóstico. Larreta volvió a hablar de su salud luego de que se viralizó una foto tomando agua,https://www.clarin.com/politica/rodriguez-larreta-volvio-hablar-salud-luego-viralizo-foto-tomando-agua_0_CZjyc45oEK.html,https://images.clarin.com/2023/01/18/k8PS3vSzF_720x0__1.jpg
